Date,AvgTone
2020-06-28,56.39470455655229
2020-07-05,56.351372420907325
2020-07-12,56.6180593865915
2020-07-19,56.624778630535744
2020-07-26,56.73199211094732
2020-08-02,56.34925598485713
2020-08-09,56.45806192599366
2020-08-16,56.43180219957463
2020-08-23,56.72174120202925
2020-08-30,56.7514423620196
2020-09-06,56.12351779896642
2020-09-13,55.980088282312586
2020-09-20,56.088035740509696
2020-09-27,56.54634997618808
2020-10-04,57.01235796195532
2020-10-11,56.616389180117714
2020-10-18,56.91322997344754
2020-10-25,57.429942046957954
2020-11-01,57.745725640721716
2020-11-08,57.74167240937833
2020-11-15,58.271803192057504
2020-11-22,58.12175650907304
2020-11-29,57.84922038824965
2020-12-06,57.8807065200028
2020-12-13,57.937674511096155
2020-12-20,57.87877927565136
